axis,magnitude_bin,episodes,arrival_n,arrival_median_s,arrival_p90_s,settling_n,settling_median_s,settling_p90_s,trajectory_lag_n,trajectory_lag_median_s,trajectory_lag_p90_s,overshoot_median_deg,overshoot_p90_deg
pitch,all,2843,924,0.09476159999985612,0.24032112640034028,580,0.28831257599995297,0.3649604351999642,1835,0.07,0.11,0.0,0.14588347368548563
pitch,0-2 deg,786,209,0.09428070399917488,0.1844001279998338,84,0.31170687999971847,0.3774393855997005,439,0.07,0.12,0.0,0.4988481395721428
pitch,2-5 deg,1003,238,0.1266311680005714,0.2210168832004456,132,0.27866355200018234,0.35097523200020075,687,0.07,0.13,0.0,0.19864272573555017
pitch,5-10 deg,613,227,0.08391014400000074,0.2338789888000065,176,0.2528381439999521,0.3584572160003745,444,0.075,0.1,0.0,0.05642628603368368
pitch,10-20 deg,324,188,0.0858923520005419,0.24904619519993504,158,0.3475934720004261,0.37475909120003054,221,0.07,0.09,0.0035999999999987153,0.08165266274227076
pitch,20+ deg,117,62,0.008602752000115288,0.08457262079959946,30,0.1422842879997006,0.34156293120040576,44,0.075,0.08850000000000001,0.0,0.023678677512138067
yaw,all,2777,1111,0.06478489599999193,0.136734208001144,532,0.2524962559997448,0.31030604799989303,1822,0.05,0.08,0.0021001322605762596,0.3135861969536007
yaw,0-2 deg,659,317,0.0722081280000566,0.08682060800006186,68,0.2530731520000131,0.3503190272001576,425,0.045,0.1,0.030652920532226346,0.48092129315631105
yaw,2-5 deg,785,235,0.058555904000058945,0.09356416000000535,79,0.24440985600085696,0.2656468479998694,485,0.05,0.07,0.0,0.565363795810972
yaw,5-10 deg,606,256,0.05915507200031378,0.10835801600075001,187,0.23269478399970467,0.2734886912001002,410,0.05,0.07,0.05530000000000257,0.20466000000000156
yaw,10-20 deg,356,119,0.017220864000591973,0.1328031232003923,58,0.1403637759999583,0.2960982527997203,238,0.05,0.08150000000000006,0.0,0.11651835518813937
yaw,20+ deg,371,184,0.09136025600014364,0.18148249599989869,140,0.29912230399986584,0.3184939520003354,264,0.05,0.095,0.0014000000000038426,0.04572023084421912
