selection,magnitude_bin,axis,episode_idx,file,magnitude_deg,duration_s,target_hold_after_s,target_update_count,target_largest_step_fraction,is_step_like_target,arrival_latency_s,settling_time_s,trajectory_lag_s,initial_target_deg,final_target_deg,description
low-arrival,10-12 deg,yaw,2502,yaw_10_20_diagnostics/01_10_12_deg_low-arrival_episode_2502.svg,11.50979201377027,0.010725120000643074,0.05089254399899801,1,1.0,1,0.003502079998725094,nan,nan,31.23,42.73979201377027,"low-arrival, episode 2502: 31.23 deg to 42.74 deg (11.51 deg), arrival 4 ms, settling not observed, trajectory lag not observed, duration 0.011 s, target held 51 ms, target updates 1, largest-step fraction 1.00, step-like=1."
median-arrival,10-12 deg,yaw,1298,yaw_10_20_diagnostics/02_10_12_deg_median-arrival_episode_1298.svg,10.615876748463922,0.8652313600005073,0.1017320959999779,43,0.061770969727692186,0,0.0513797119992887,nan,0.07,12.312132956153356,22.928009704617278,"median-arrival, episode 1298: 12.31 deg to 22.93 deg (10.62 deg), arrival 51 ms, settling not observed, trajectory lag 70 ms, duration 0.865 s, target held 102 ms, target updates 43, largest-step fraction 0.06, step-like=0."
high-arrival,10-12 deg,yaw,2733,yaw_10_20_diagnostics/03_10_12_deg_high-arrival_episode_2733.svg,11.740149832848825,0.6021335040004487,21.726367232000484,1,1.0,1,0.12485964799998328,0.2749678079999285,0.04,-11.740199965109401,-5.013226057570819e-05,"high-arrival, episode 2733: -11.74 deg to -0.00 deg (11.74 deg), arrival 125 ms, settling 275 ms, trajectory lag 40 ms, duration 0.602 s, target held 21726 ms, target updates 1, largest-step fraction 1.00, step-like=1."
low-arrival,12-14 deg,yaw,1337,yaw_10_20_diagnostics/04_12_14_deg_low-arrival_episode_1337.svg,12.822172622344883,1.4846791679992748,0.04881279999972321,57,0.04455455888720371,0,0.00168857600147021,nan,0.045,14.120646292767983,26.942818915112866,"low-arrival, episode 1337: 14.12 deg to 26.94 deg (12.82 deg), arrival 2 ms, settling not observed, trajectory lag 45 ms, duration 1.485 s, target held 49 ms, target updates 57, largest-step fraction 0.04, step-like=0."
median-arrival,12-14 deg,yaw,1403,yaw_10_20_diagnostics/05_12_14_deg_median-arrival_episode_1403.svg,12.100000000000001,0.1511772159992688,0.19904435200078296,2,0.9644628099173554,0,0.020707072000732296,0.19309184000121604,0.075,12.2,24.3,"median-arrival, episode 1403: 12.20 deg to 24.30 deg (12.10 deg), arrival 21 ms, settling 193 ms, trajectory lag 75 ms, duration 0.151 s, target held 199 ms, target updates 2, largest-step fraction 0.96, step-like=0."
high-arrival,12-14 deg,yaw,2723,yaw_10_20_diagnostics/06_12_14_deg_high-arrival_episode_2723.svg,12.460050132260577,2.039627775999179,15.423482624000826,1,1.0,1,0.12409702400145761,0.2743014400002721,0.095,12.46,-5.013226057570819e-05,"high-arrival, episode 2723: 12.46 deg to -0.00 deg (12.46 deg), arrival 124 ms, settling 274 ms, trajectory lag 95 ms, duration 2.040 s, target held 15423 ms, target updates 1, largest-step fraction 1.00, step-like=1."
low-arrival,14-16 deg,yaw,2489,yaw_10_20_diagnostics/07_14_16_deg_low-arrival_episode_2489.svg,15.342852742374433,0.014417919999687001,0.0268846079998184,1,1.0,1,0.002581503998953849,nan,nan,57.0,41.65714725762557,"low-arrival, episode 2489: 57.00 deg to 41.66 deg (15.34 deg), arrival 3 ms, settling not observed, trajectory lag not observed, duration 0.014 s, target held 27 ms, target updates 1, largest-step fraction 1.00, step-like=1."
median-arrival,14-16 deg,yaw,2491,yaw_10_20_diagnostics/08_14_16_deg_median-arrival_episode_2491.svg,15.22346592260297,0.005495039999004803,0.033931007999854046,1,1.0,1,0.009741055999256787,nan,nan,57.0,41.77653407739703,"median-arrival, episode 2491: 57.00 deg to 41.78 deg (15.22 deg), arrival 10 ms, settling not observed, trajectory lag not observed, duration 0.005 s, target held 34 ms, target updates 1, largest-step fraction 1.00, step-like=1."
high-arrival,14-16 deg,yaw,2774,yaw_10_20_diagnostics/09_14_16_deg_high-arrival_episode_2774.svg,14.925520043707941,1.704282623999461,75.97298457600118,1,1.0,1,0.13405772800069826,0.27533644800132606,0.04,14.925469911447365,-5.013226057570819e-05,"high-arrival, episode 2774: 14.93 deg to -0.00 deg (14.93 deg), arrival 134 ms, settling 275 ms, trajectory lag 40 ms, duration 1.704 s, target held 75973 ms, target updates 1, largest-step fraction 1.00, step-like=1."
low-arrival,16-18 deg,yaw,2580,yaw_10_20_diagnostics/10_16_18_deg_low-arrival_episode_2580.svg,16.53954197180127,0.004402431999551482,0.036758272000952275,1,1.0,1,0.0006440960005420493,nan,nan,36.95,53.48954197180127,"low-arrival, episode 2580: 36.95 deg to 53.49 deg (16.54 deg), arrival 1 ms, settling not observed, trajectory lag not observed, duration 0.004 s, target held 37 ms, target updates 1, largest-step fraction 1.00, step-like=1."
